               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096306,            0.032312,            0.049527,           0.0032126,               0.864,            0.060474,            0.014477,            0.068669,             0.01903,            0.043474,              0.0706,           0.0032667,           0.0032667
                   1,            0.069432,            0.026275,            0.042663,           0.0035914,                   1,            0.099259,            0.033422,            0.060485,            0.012457,            0.032717,            0.040382,           0.0063822,           0.0063822
                   2,            0.062474,            0.021386,            0.038146,             0.58286,             0.63599,             0.64486,             0.23331,            0.043037,            0.012384,            0.028971,           0.0099444,           0.0092777,           0.0092777
                   3,            0.056653,            0.016909,            0.034464,             0.47491,             0.62485,             0.61003,             0.30913,            0.048232,           0.0094538,            0.023321,             0.00901,             0.00901,             0.00901
                   4,            0.051184,            0.014634,            0.030037,             0.77458,                 0.8,             0.78235,              0.3966,            0.040533,           0.0066511,            0.018277,             0.00901,             0.00901,             0.00901
                   5,            0.047109,            0.011577,            0.024885,              0.5561,             0.85527,             0.77114,             0.38591,            0.033903,           0.0060179,            0.018454,             0.00868,             0.00868,             0.00868
                   6,            0.044655,            0.010192,            0.023074,             0.80896,             0.83357,             0.86194,             0.53091,            0.029827,           0.0056761,            0.014031,             0.00835,             0.00835,             0.00835
                   7,             0.04034,           0.0093398,            0.019279,             0.87257,                0.98,             0.97805,             0.63127,            0.026213,            0.004982,           0.0098081,             0.00802,             0.00802,             0.00802
                   8,            0.038275,           0.0086761,            0.014517,              0.8426,             0.97303,             0.96697,              0.5292,            0.034464,           0.0044864,           0.0082106,             0.00769,             0.00769,             0.00769
                   9,            0.036879,           0.0077946,            0.012732,              0.9261,                   1,               0.995,             0.57816,            0.024544,           0.0043024,           0.0066072,             0.00736,             0.00736,             0.00736
                  10,            0.034475,            0.008034,            0.010838,             0.83013,                   1,             0.97408,             0.60451,            0.026467,           0.0040423,           0.0049329,             0.00703,             0.00703,             0.00703
                  11,            0.032733,           0.0076791,            0.008272,              0.9945,             0.96762,               0.995,             0.71931,            0.023182,           0.0036854,           0.0041446,              0.0067,              0.0067,              0.0067
                  12,            0.031402,           0.0073661,           0.0076973,             0.95009,             0.96256,             0.99038,             0.59392,            0.028116,           0.0040527,           0.0037703,             0.00637,             0.00637,             0.00637
                  13,            0.030823,           0.0076551,           0.0071591,             0.99545,                   1,               0.995,             0.72569,            0.019926,           0.0036149,           0.0031802,             0.00604,             0.00604,             0.00604
                  14,            0.027604,            0.006801,           0.0080833,              0.9576,                   1,               0.995,             0.72559,            0.018188,           0.0035948,           0.0047437,             0.00571,             0.00571,             0.00571
                  15,             0.02643,           0.0064701,           0.0071188,             0.99728,                   1,               0.995,             0.71075,            0.020035,           0.0034844,           0.0023238,             0.00538,             0.00538,             0.00538
                  16,            0.027788,            0.007065,           0.0053906,             0.99622,                   1,               0.995,             0.77234,            0.017637,           0.0033905,           0.0022453,             0.00505,             0.00505,             0.00505
                  17,            0.025682,            0.006427,           0.0050849,             0.99766,                   1,               0.995,             0.82931,             0.01518,           0.0033303,           0.0021854,             0.00472,             0.00472,             0.00472
                  18,            0.024826,           0.0062942,           0.0059893,              0.9968,                   1,               0.995,             0.74065,            0.018696,           0.0033784,           0.0022376,             0.00439,             0.00439,             0.00439
                  19,            0.023353,           0.0064394,             0.00542,             0.99736,                   1,               0.995,              0.7913,            0.015322,           0.0031088,           0.0020236,             0.00406,             0.00406,             0.00406
                  20,            0.022856,           0.0065957,           0.0045216,             0.99784,                   1,               0.995,             0.81815,            0.015448,           0.0031042,           0.0015792,             0.00373,             0.00373,             0.00373
                  21,            0.021621,           0.0061963,           0.0052683,             0.99816,                   1,               0.995,              0.8546,            0.013085,           0.0029429,           0.0014753,              0.0034,              0.0034,              0.0034
                  22,             0.02078,           0.0062065,           0.0042384,             0.99811,                   1,               0.995,             0.81113,            0.013354,           0.0028972,           0.0015131,             0.00307,             0.00307,             0.00307
                  23,            0.019869,            0.006066,           0.0039258,             0.99831,                   1,               0.995,             0.84848,            0.012695,           0.0028261,           0.0012721,             0.00274,             0.00274,             0.00274
                  24,            0.019113,            0.005876,           0.0036531,              0.9981,                   1,               0.995,             0.88495,            0.012758,           0.0028534,           0.0011687,             0.00241,             0.00241,             0.00241
                  25,            0.018276,           0.0057316,           0.0035988,             0.99807,                   1,               0.995,             0.87913,            0.011313,            0.002753,           0.0010404,             0.00208,             0.00208,             0.00208
                  26,             0.01701,           0.0061258,           0.0029767,             0.99812,                   1,               0.995,             0.84453,            0.012351,           0.0028224,          0.00093219,             0.00175,             0.00175,             0.00175
                  27,            0.017282,           0.0054492,           0.0026299,             0.99835,                   1,               0.995,             0.86406,            0.012315,            0.002767,          0.00087637,             0.00142,             0.00142,             0.00142
                  28,            0.016365,           0.0059108,            0.002958,             0.99826,                   1,               0.995,             0.87799,            0.011009,           0.0027154,          0.00081635,             0.00109,             0.00109,             0.00109
                  29,            0.015455,           0.0056645,           0.0024986,             0.99825,                   1,               0.995,             0.88033,            0.010714,           0.0026105,          0.00075216,             0.00076,             0.00076,             0.00076
